序号,单词/词组,词性,类型,难度
1036,tuesday,形容词,单词,3
1037,tutor,名词,单词,2
1038,unaware,名词,单词,3
1039,undersea,名词,单词,3
1040,uniform,名词,单词,3
1041,unit,名词,单词,1
1042,universities,名词,单词,5
1043,university,名词,单词,4
1044,unnecessary,形容词,单词,5
1045,urban,形容词,单词,2
1046,vacation,名词,单词,3
1047,variety,名词,单词,3
1048,vegan,名词,单词,2
1049,vegetarian,名词,单词,4
1050,view,动词,单词,1
1051,viewing,名词,单词,3
1052,viewpoint,名词,单词,4
1053,village,名词,单词,3
1054,violin,名词,单词,2
1055,visible,形容词,单词,3
1056,vision,名词,单词,2
1057,visions,名词,单词,3
1058,visitors,名词,单词,3
1059,vitamins,名词,单词,3
1060,vocabulary,名词,单词,4
1061,voice,名词,单词,2
1062,waist,名词,单词,2
1063,wait,动词,单词,1
1064,waiter,名词,单词,2
1065,walking,名词,单词,3
1066,wall,名词,单词,1
1067,walls,名词,单词,2
1068,waste,名词,单词,2
1069,water,名词,单词,2
1070,water level,名词,词组,5
1071,waterfall,名词,单词,4
1072,wealth,名词,单词,2
1073,wealthy,形容词,单词,3
1074,weapons,名词,单词,3
1075,weather,名词,单词,3
1076,wednesday,名词,单词,4
1077,wednesdays,名词,单词,4
1078,week,名词,单词,1
1079,weekend,名词,单词,3
1080,weight,名词,单词,2
1081,west,名词,单词,1
1082,wet,形容词,单词,1
1083,whale,名词,单词,2
1084,wheel,名词,单词,2
1085,white,名词,单词,2
1086,whole,名词,单词,2
1087,wide,形容词,单词,1
1088,wifi,名词,单词,1
1089,windows,名词,单词,3
1090,windy,形容词,单词,2
1091,wine,名词,单词,1
1092,wings,名词,单词,2
1093,winter,名词,单词,2
1094,wire,名词,单词,1
1095,women,动词,单词,2
1096,wood,名词,单词,1
1097,work,动词,单词,1
1098,workbooks,名词,单词,4
1099,working,名词,单词,3
1100,workshop,名词,单词,3
1101,world,名词,单词,2
1102,worst,名词,单词,2
1103,write,动词,单词,2
1104,yellow,名词,单词,2
1105,yoga,名词,单词,1
1106,young,名词,单词,2
1107,youth,名词,单词,2
